,N,macroF1,microF1,accuracy,cm,dev
0,100,0.0018319197539269265,0.0012205044751830757,0.0012205044751830757,"[[   4    1    3 2548]
 [   1    2    3 2550]
 [   1    0    3 2258]
 [   0    0    0    0]]",SET train
1,500,0.07999991948317281,0.0735014917276919,0.0735014917276919,"[[ 413   20  122 2001]
 [ 479   24   95 1958]
 [ 301    8  105 1848]
 [   0    0    0    0]]",SET train
2,1000,0.1604714433193727,0.19066992134526717,0.19066992134526717,"[[ 896   66  507 1087]
 [1138   99  354  965]
 [ 702   81  411 1068]
 [   0    0    0    0]]",SET train
3,5000,0.22397422750275797,0.3041768375372932,0.3041768375372932,"[[ 634  434 1307  181]
 [ 671  382 1321  182]
 [ 636  219 1227  180]
 [   0    0    0    0]]",SET train
4,10000,0.17959066221936085,0.3478437754271766,0.3478437754271766,"[[2259  138  143   16]
 [2182  139  213   22]
 [1957  129  167    9]
 [   0    0    0    0]]",SET train
5,15000,0.1641049078099009,0.29726064551125575,0.29726064551125575,"[[ 292   86 2155   23]
 [ 439   73 2009   35]
 [ 342   53 1827   40]
 [   0    0    0    0]]",SET train
